id	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
255	0.05	0.05		0.1	0.06	0.12	0.39	0.1	0.1	0.03	0.02	0.03	0.1	0.1	0.01	0.05	0.05	0.02	0.015	0.015	
256	0.1	0.2	0.08	0.05	0.08	0.1	0.1	0.1	0.125	0.1	0.1	0.12		0.2	0.12	0.08		0.08	0.06	0.05	
257		0.1						0.03	0.028							0					
258			0.176		0.2	0.2	0.2	0.3	0.32	0.05	0.03	0.1	0.1	0.02	0.05	0.05			0.05	0.05	
259		0.02	0.015						0.1				0.1		0.02						
260		0.7																			
261		0.2	0.135	0.1		0		0.125	0.1	0	0.07			0.1	0.015	0.1	0.1	0.05	0.085	0.1	
262			0.04	0.08			0.05		0.1	0.06	0.1	0.12	0.12	0.12	0.1	0.05	0.06	0.08	0.04	0.09	
263	0.375		0.5	0.5		1	0.35	0.12	0.252		0.1	0.1	0.5	0.1	0.1	0.04	0.03	0.03	0.15	0.2	
264	0.025	0.05	0.07	0.02																	
265		0.1	0.1								0.07	0.1	0.1	0.05	0.015	0.01			0.2	0.2	
266	0.045	0.05	0.03	0.07		0.05		0.041	0.047			0.04	0.04	0.02	0.04	0.02	0.02	0.02	0.04	0.02	
267	0.1	0										0.1				0.1			0.2		
268	0.1	0.15	0.1	0.06	0.08	0.05	0.07	0.08	0.035	0.065	0.12	0.165	0.29	0.3177	0.43	0.425	0.175	0.18	0.355	0.46	
269											0	0.1	0.025	0.01	0.011				0.013	0.02	
270	0.09	0.125	0.05	0.035	0.08							0.08	0.26	0.1	0.3	0.3	0.1	0.2	0.35	0.8	
271	0.12			0.15		0.1	0	0.1	0		0.03	0.03		0.03	0.05	0.03			0.08	0.03	
272	0.044	0.27	0.01	0	0.2	0.3	0.5	0.88	1.2	1.672	0.403		0.16	0.32	0.067	0.086	0.031	0.02			
273	0.2		0.1	0.1	0.07	0.03			0.02	0.02	0.04	0.02	0.02	0.02	0.04	0.05	0.045	0.045	0.015		
274			0.025														0				
275		0.06			0.025													0.1			
276	0.2	0.2	0.1					0.03	0.055	0.03			0.06		0.05	0.05		0.1	0.060012	0.06	
277	0.3	0.1	0.05	0.03	0.05	0.05	0.02				0.03	0.05	0.05	0.06	0.055	0.04					
278	0.4	0.2	0.3											0.2				0.11	0.15	0.15	
279	0.1	0.1	0.05	0.2	0.1		0.2	0.1	0.2	0.35	0.427	0.3			0.019	0.01	0.043		0.02	0.03	
280		0.1										0				0.06	0.1	0.02	0.02	0.02	
281	0.08	0.08	0.05						0.02				0.02	0.03	0.02	0.02		0.077	0.041	0.06	
282																					
283	0.075	0.1	0.04		0.05	0	0		0												
284	0.16	0.25	0.3	0.3	0.3	0.3	0.2	0.45	0.4	0.08	0.03	0.03	0.03	0.03					0.07		
285		0.1											0								
286		0.075	0								0.05	0.2	0.15	0.03	0.02	0.2	0.105	0.11			
287	0.1375	0.15	0.21		0.1	0.1	0.15	0.12	0.18	0.17	0.18	0.2	0.1	0.1	0.1	0.1	0.05	0.05	0.08	0.05	
288	0	0.1	0	0.1	0.1	0	0		0			0.012	0.035		0.06	0.02	0.035	0.03	0.03		
289																		0			
290	0.12	0.05	0.1	0.04		0.025					0.11										
291		0.05	0.03				0	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01			0.01	
292						0.05	0.05											0.047	0.08	0.15	
293	0.125		0.125	0.05	0.1	0.2	0.15			0.2	0.2	0.02	0.1	0.15	0.05	0.05	0.05	0.05		0.02	
294																					
295		0.2	0.13	0.1	0.1		0.1	0.1	0.03			0.035			0.01		0.01	0.02	0.03		
296	0.2	0.23	0.18	0.1	0.1	0.09569	0.09684	0.09913	0.10595				0.1						0.05	0.2	
297	0.1	0.15	0.1	0.03			0.11	0.1	0.11	0.101		0.1	0.12	0.12	0.1	0.1	0.02	0.1	0.08	0.1	
298	0.2	0.088	0.1	0.05	0.2	0.2	0.2	0.2	0.3	0.1	0.1	0.1	0.05	0.05	0.03			0.02	0.243	0.1	
299								0.02			0.05	0.1	0.1	0.1	0.1	0.1	0.15	0.2	0.4	0.03	
300	0.06	0.065				0.145	0.175	0.12	0.15	0.13	0.155	0.18	0.15	0.16	0.18	0.25	0.3	0.3	0.25	0.27	
301	0	0.035	0.02			0.02		0.1	0										0.022		
302			0.2		0	0.1	0.1	0.1	0.1	0.1			0.1			0.3			0.3	0.5	
303		0.1	0.06	0.09	0.1	0.03			0.02												
304			0.12			0.1	0.1		0.1		0.1	0.1	0.1				0.05		0.05	0.015	
305		0.03	0.14					0.05	0.05	0.04											
306			0.2							0.06	0			0.03			0		0.03		
307	0	0.1	0.025	0.018	0.022	0.02	0.02	0.016	0		0.06	0.08	0.097								
308									0					0.05	0.1	0.15	0.054	0.021	0.036	0.021	
309	0.093	0.45	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.05	0.05		
310			0.66		0.2	0.2		0.1	0.4	0.4	0.4	0.6	0.5	0.3	0.35	0.2	0.2	0.4	0.5	0.4	
311	0.15	0.18378	0.25	0.15			0.05	0.1	0.1	0.05	0.05	0.034	0.05	0.05	0.05	0.05	0.1	0.05	0.05	0.05	
312	0													0.06			0.02	0.02	0		
313	0.2	0	0.2	0.1	0.2	0.1	0.2	0.4	0.4	0.1	0.1	0.2	0.2	0.2	0.05		0			0	
314	0.1	0.15																			
315			0.025	0	0.2		0.1	0.06		0.05	0.15	0.3	0.5	0.8	0.7	0.6	0.8	0.9	1.3	1.7	
316	0	0.1	0.25	0								0.05				0		0.01	0.01	0.01	
317		0.13809	0.15	0.15	0.1	0.05	0.1	0.1	0.1	0.1	0.1	0.25	0.2	0.025	0.1	0.1	0.1	0.1	0.15	0.15	
318	0.1	0.1	0						0.034	0.042	0.05	0.03	0.1	0.11	0.04	0.035		0.01		0.016588	
319		0.03														0.097073			0.201529		
320	0						0.04464					0.025	0.1	0.06			0.02				
321		0.2	0.25	0.2	0.1	0.5	0.7	0.8	1.1	1.2	1.2	1.4	1.52	1.1	0.5	0.44	0.5	0.5	0.5	0.6	
322	0.05		0.04				0.06	0.05	0.012		0.116		0.17	0.12	0.25	0.25	0.55	0.5	0.15	0.03	
323				0.1	0.05				0	0.17	0.3	0.4	0.7	0.11	0.1	0.087		0.036	0.08	0.38	
324	0.13	0.14	0.1	0.05	0.1	0.1	0.25	0.5	0.2												
325	0.05	0.025	0.3										0.05	0.05					0.02	0.02	
326	0	0.025	0.05			0.1	0.05	0.1		0.2	0.2	0.2	0.1	0.1	0.1			0.03	0.037		
327			0.05								0.15	0.06	0.07	0.045	0.024	0.028	0.064	0.031	0.003	0.004	
328													0	0	0.02	0.04	0.01	0.01	0.01	0.23	
329		0.05										0.08			0.05				0.05	0.05	
330		0.05	0.05	0.05	0.05					0.025	0.2	0.05		0.16	0.04	0.04	0.08	0.1	0.3	0.2	
331	0.1	0.1	0.15	0.2	0.18	0.1	0.1	0.1	0.1	0.043	0.06	0.12	0.15	0.18	0.08	0.18	0.1	0.08	0.1	0.1	
332		0.05	0.03					0					0.022	0.025	0.042	0.016	0.025	0.036	0.037	0.038	
333		0.1	0.1	0.1	0.05	0.05	0.05							0.02	0.02		0.01	0.1			
334																					
335							0.02054							0.152	0.15						
336	0	0.5	0.128	0.5	0.7	0.6	0.5	0.8	0.8	0.6	1	0.5	0.55	1.35	1.45	1.42	1.25	1.2	1.1	0.55	
